"","Offer","Campaign","Varietal","Minimum.Qty..kg.","Discount....","Origin","Past.Peak","Grupo 1 com 3 clusters","Grupo 2 com 3 clusters","Grupo 3 com 3 clusters","Grupo 1 com 4 clusters","Grupo 2 com 4 clusters","Grupo 3 com 4 clusters","Grupo 4 com 4 clusters","Grupo 1 com 5 clusters","Grupo 2 com 5 clusters","Grupo 3 com 5 clusters","Grupo 4 com 5 clusters","Grupo 5 com 5 clusters","Grupo 1 com 6 clusters","Grupo 2 com 6 clusters","Grupo 3 com 6 clusters","Grupo 4 com 6 clusters","Grupo 5 com 6 clusters","Grupo 6 com 6 clusters","Grupo 1 com 7 clusters","Grupo 2 com 7 clusters","Grupo 3 com 7 clusters","Grupo 4 com 7 clusters","Grupo 5 com 7 clusters","Grupo 6 com 7 clusters","Grupo 7 com 7 clusters","Grupo 1 com 8 clusters","Grupo 2 com 8 clusters","Grupo 3 com 8 clusters","Grupo 4 com 8 clusters","Grupo 5 com 8 clusters","Grupo 6 com 8 clusters","Grupo 7 com 8 clusters","Grupo 8 com 8 clusters","Grupo 1 com 9 clusters","Grupo 2 com 9 clusters","Grupo 3 com 9 clusters","Grupo 4 com 9 clusters","Grupo 5 com 9 clusters","Grupo 6 com 9 clusters","Grupo 7 com 9 clusters","Grupo 8 com 9 clusters","Grupo 9 com 9 clusters","Grupo 1 com 10 clusters","Grupo 2 com 10 clusters","Grupo 3 com 10 clusters","Grupo 4 com 10 clusters","Grupo 5 com 10 clusters","Grupo 6 com 10 clusters","Grupo 7 com 10 clusters","Grupo 8 com 10 clusters","Grupo 9 com 10 clusters","Grupo 10 com 10 clusters"
"1",1,"January","Malbec",72,56,"France",FALSE,8,0,2,0,8,0,2,2,0,2,0,6,2,0,0,7,0,1,0,0,0,1,1,8,0,0,2,8,0,0,0,0,0,2,0,5,0,3,0,0,0,0,5,0,0,0,1,0,1,2,0,1
"2",2,"January","Pinot Noir",72,17,"France",FALSE,2,0,8,0,5,5,0,8,0,0,0,2,0,0,0,4,0,6,0,0,1,0,0,4,5,5,0,4,0,1,0,0,0,0,0,4,5,1,0,0,0,0,4,0,0,0,0,0,1,0,5,0
"3",3,"February","Espumante",144,32,"Oregon",TRUE,5,0,1,4,1,1,0,0,1,0,0,5,0,0,4,1,1,0,0,2,1,1,2,0,0,0,0,0,0,1,2,0,3,0,2,0,0,0,3,1,0,0,0,0,0,1,0,4,0,0,0,1
"4",4,"February","Champagne",72,48,"France",TRUE,11,0,1,5,4,0,3,1,0,5,0,6,5,0,5,2,0,0,0,1,2,1,6,2,0,0,3,1,0,2,4,1,1,3,2,2,0,0,0,4,0,1,1,0,1,1,0,2,2,3,0,2
"5",5,"February","Cabernet Sauvignon",144,44,"New Zealand",TRUE,2,0,2,0,2,0,2,2,0,2,0,0,1,0,0,3,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"6",6,"March","Prosecco",144,86,"Chile",FALSE,11,1,0,11,0,0,1,1,1,2,0,8,1,1,10,0,0,0,0,2,0,4,6,0,0,0,1,0,0,0,9,1,1,1,1,0,0,2,2,4,0,2,0,0,0,1,3,4,2,1,0,1
"7",7,"March","Prosecco",6,40,"Australia",TRUE,3,12,4,4,0,15,0,0,8,0,8,3,0,0,4,0,15,0,9,7,0,2,1,0,0,0,0,0,12,0,1,2,4,0,7,0,0,0,2,1,9,0,0,11,0,4,0,3,0,0,0,1
"8",8,"March","Espumante",6,45,"South Africa",FALSE,4,12,4,4,1,15,0,4,1,0,11,4,0,12,3,1,4,0,8,9,1,2,0,0,0,0,0,0,7,1,0,9,3,0,9,0,0,0,3,0,8,0,0,10,0,5,0,3,1,0,0,1
"9",9,"April","Chardonnay",144,57,"Chile",FALSE,5,0,5,1,7,0,2,4,0,3,1,2,8,0,1,1,0,0,0,3,2,2,1,2,0,0,2,1,0,2,1,3,1,2,4,0,0,1,0,0,0,3,0,0,2,2,2,0,1,2,0,1
"10",10,"April","Prosecco",72,52,"California",FALSE,3,1,3,4,2,1,0,1,3,0,0,3,0,1,3,1,1,1,0,2,0,4,0,1,0,0,0,2,0,0,1,1,3,0,3,0,0,3,1,0,0,0,0,0,0,2,1,0,1,0,0,3
"11",11,"May","Champagne",72,85,"France",FALSE,11,1,1,0,11,0,2,1,0,6,1,5,6,0,0,7,0,0,0,0,9,0,1,3,0,0,2,2,0,9,0,0,0,2,0,5,0,0,3,0,0,3,6,0,3,0,0,1,0,2,0,1
"12",12,"May","Prosecco",72,83,"Australia",FALSE,2,0,3,0,4,1,0,2,1,0,0,2,0,0,0,3,1,1,0,1,4,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,1,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0
"13",13,"May","Merlot",6,43,"Chile",FALSE,0,6,0,0,0,6,0,0,1,0,5,0,0,2,0,0,4,0,5,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,0
"14",14,"June","Merlot",72,64,"Chile",FALSE,7,0,2,2,5,0,2,3,0,2,0,4,1,0,2,6,0,0,0,3,1,2,1,2,0,0,2,2,0,1,2,2,0,2,2,0,0,4,1,0,0,0,1,0,0,2,3,0,0,2,0,1
"15",15,"June","Cabernet Sauvignon",144,19,"Italy",FALSE,5,0,1,2,3,0,1,1,0,2,0,3,1,0,2,3,0,0,0,1,1,2,1,1,0,0,1,1,0,1,2,1,0,1,1,1,0,1,0,0,0,2,1,0,1,1,2,0,0,1,0,0
"16",16,"June","Merlot",72,88,"California",FALSE,3,0,2,0,5,0,0,1,0,3,1,0,4,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0
"17",17,"July","Pinot Noir",12,47,"Germany",FALSE,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"18",18,"July","Espumante",6,50,"Oregon",FALSE,1,12,1,2,0,12,0,0,5,0,8,1,0,9,1,0,4,0,8,5,0,1,0,0,0,0,0,0,10,0,0,3,1,0,5,0,0,0,1,0,8,0,0,9,0,4,0,0,0,0,0,1
"19",19,"July","Champagne",12,66,"Germany",FALSE,3,0,2,5,0,0,0,1,1,0,0,3,0,0,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,2
"20",20,"August","Cabernet Sauvignon",72,82,"Italy",FALSE,6,0,0,1,3,0,2,0,0,6,0,0,4,0,1,1,0,0,0,0,3,1,2,0,0,0,2,0,0,3,1,0,0,2,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,2,0,1
"21",21,"August","Champagne",12,50,"California",FALSE,3,0,1,3,0,1,0,0,1,0,0,3,0,1,3,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,1
"22",22,"August","Champagne",72,63,"France",FALSE,21,0,0,9,11,0,1,0,0,1,0,20,0,0,9,12,0,0,0,2,5,5,4,5,0,0,1,5,0,5,6,0,4,1,0,4,0,2,11,2,0,1,8,0,0,0,3,6,1,1,0,2
"23",23,"September","Chardonnay",144,39,"South Africa",FALSE,3,0,2,2,3,0,0,3,0,0,0,2,1,0,2,1,0,1,0,2,0,1,0,2,0,0,0,2,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,3,0,1,0,0,0
"24",24,"September","Pinot Noir",6,34,"Italy",FALSE,0,0,12,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"25",25,"October","Cabernet Sauvignon",72,59,"Oregon",TRUE,4,0,2,0,5,0,1,1,0,2,1,2,3,0,0,3,0,0,0,0,5,0,1,0,0,0,1,0,0,5,0,0,0,1,1,0,0,0,2,0,0,2,2,0,2,1,0,0,0,1,0,0
"26",26,"October","Pinot Noir",144,83,"Australia",FALSE,3,0,12,0,2,10,3,12,0,3,0,0,2,0,0,1,0,12,0,0,1,0,2,2,10,9,3,1,0,1,0,1,0,3,0,0,11,1,0,0,0,0,0,0,0,2,0,0,1,3,9,0
"27",27,"October","Champagne",72,88,"New Zealand",FALSE,6,0,3,4,4,1,0,3,0,1,0,5,2,1,4,1,0,1,0,3,1,0,4,1,0,0,0,1,0,1,5,2,0,0,2,0,0,1,1,4,0,1,0,0,1,0,0,2,6,0,0,0
"28",28,"November","Cabernet Sauvignon",12,56,"France",TRUE,3,0,3,0,5,1,0,2,1,1,0,2,1,1,0,4,0,0,0,1,3,0,0,2,0,0,0,2,0,3,0,1,0,0,2,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1
